,Date,ZoneID,mean,sum,count
0,20190811,1,0.0,0.0,2
1,20190811,2,0.0,0.0,4
2,20190811,3,0.0,0.0,8
3,20190811,4,0.0,0.0,3
4,20190811,5,,,0
5,20190811,6,0.0,0.0,17
6,20170627,1,0.0,0.0,2
7,20170627,2,0.0,0.0,4
8,20170627,3,0.0,0.0,8
9,20170627,4,0.0,0.0,3
10,20170627,5,,,0
11,20170627,6,0.0,0.0,17
12,20100915,1,0.0,0.0,2
13,20100915,2,0.0,0.0,4
14,20100915,3,0.0,0.0,8
15,20100915,4,0.0,0.0,3
16,20100915,5,,,0
17,20100915,6,0.0,0.0,17
18,20130825,1,0.0,0.0,2
19,20130825,2,0.0,0.0,4
20,20130825,3,0.0,0.0,8
21,20130825,4,0.0,0.0,3
22,20130825,5,,,0
23,20130825,6,0.0,0.0,17
24,20121123,1,0.0,0.0,2
25,20121123,2,0.0,0.0,4
26,20121123,3,0.0,0.0,8
27,20121123,4,0.0,0.0,3
28,20121123,5,,,0
29,20121123,6,0.0,0.0,17
30,20130728,1,0.0,0.0,2
31,20130728,2,0.0,0.0,4
32,20130728,3,0.0,0.0,8
33,20130728,4,0.0,0.0,3
34,20130728,5,,,0
35,20130728,6,0.0,0.0,17
36,20170528,1,0.0,0.0,2
37,20170528,2,0.0,0.0,4
38,20170528,3,0.0,0.0,8
39,20170528,4,0.0,0.0,3
40,20170528,5,,,0
41,20170528,6,0.0,0.0,17
42,20181105,1,0.0,0.0,2
43,20181105,2,0.0,0.0,4
44,20181105,3,0.0,0.0,8
45,20181105,4,0.0,0.0,3
46,20181105,5,,,0
47,20181105,6,0.0,0.0,17
48,20131109,1,0.0,0.0,2
49,20131109,2,0.0,0.0,4
50,20131109,3,0.0,0.0,8
51,20131109,4,0.0,0.0,3
52,20131109,5,,,0
53,20131109,6,0.0,0.0,17
54,20090729,1,0.0,0.0,2
55,20090729,2,0.0,0.0,4
56,20090729,3,0.0,0.0,8
57,20090729,4,0.0,0.0,3
58,20090729,5,,,0
59,20090729,6,0.0,0.0,17
60,20190516,1,0.0,0.0,2
61,20190516,2,0.0,0.0,4
62,20190516,3,0.0,0.0,8
63,20190516,4,0.0,0.0,3
64,20190516,5,,,0
65,20190516,6,0.0,0.0,17
66,20171119,1,0.0,0.0,2
67,20171119,2,0.0,0.0,4
68,20171119,3,0.0,0.0,8
69,20171119,4,0.0,0.0,3
70,20171119,5,,,0
71,20171119,6,0.0,0.0,17
72,20091125,1,0.0,0.0,2
73,20091125,2,0.0,0.0,4
74,20091125,3,20.125,161.0,8
75,20091125,4,27.0,81.0,3
76,20091125,5,,,0
77,20091125,6,14.235294117647058,242.0,17
78,20141216,1,0.0,0.0,2
79,20141216,2,74.5,298.0,4
80,20141216,3,47.125,377.0,8
81,20141216,4,79.33333333333333,238.0,3
82,20141216,5,,,0
83,20141216,6,53.705882352941174,913.0,17
84,20090721,1,0.0,0.0,2
85,20090721,2,0.0,0.0,4
86,20090721,3,0.0,0.0,8
87,20090721,4,0.0,0.0,3
88,20090721,5,,,0
89,20090721,6,0.0,0.0,17
90,20190108,1,0.0,0.0,2
91,20190108,2,41.5,166.0,4
92,20190108,3,46.625,373.0,8
93,20190108,4,58.0,174.0,3
94,20190108,5,,,0
95,20190108,6,41.94117647058823,713.0,17
96,20111218,1,41.0,82.0,2
97,20111218,2,98.75,395.0,4
98,20111218,3,85.5,684.0,8
99,20111218,4,90.66666666666667,272.0,3
100,20111218,5,,,0
101,20111218,6,84.29411764705883,1433.0,17
102,20131002,1,0.0,0.0,2
103,20131002,2,0.0,0.0,4
104,20131002,3,0.0,0.0,8
105,20131002,4,0.0,0.0,3
106,20131002,5,,,0
107,20131002,6,0.0,0.0,17
108,20141223,1,0.0,0.0,2
109,20141223,2,33.5,134.0,4
110,20141223,3,55.875,447.0,8
111,20141223,4,82.33333333333333,247.0,3
112,20141223,5,,,0
113,20141223,6,48.705882352941174,828.0,17
114,20090329,1,0.0,0.0,2
115,20090329,2,0.0,0.0,4
116,20090329,3,0.0,0.0,8
117,20090329,4,0.0,0.0,3
118,20090329,5,,,0
119,20090329,6,0.0,0.0,17
120,20090804,1,0.0,0.0,2
121,20090804,2,0.0,0.0,4
122,20090804,3,0.0,0.0,8
123,20090804,4,0.0,0.0,3
124,20090804,5,,,0
125,20090804,6,0.0,0.0,17
126,20111013,1,0.0,0.0,2
127,20111013,2,0.0,0.0,4
128,20111013,3,0.0,0.0,8
129,20111013,4,0.0,0.0,3
130,20111013,5,,,0
131,20111013,6,0.0,0.0,17
132,20170719,1,0.0,0.0,2
133,20170719,2,0.0,0.0,4
134,20170719,3,0.0,0.0,8
135,20170719,4,0.0,0.0,3
136,20170719,5,,,0
137,20170719,6,0.0,0.0,17
138,20160912,1,0.0,0.0,2
139,20160912,2,0.0,0.0,4
140,20160912,3,0.0,0.0,8
141,20160912,4,0.0,0.0,3
142,20160912,5,,,0
143,20160912,6,0.0,0.0,17
144,20160622,1,0.0,0.0,2
145,20160622,2,0.0,0.0,4
146,20160622,3,0.0,0.0,8
147,20160622,4,0.0,0.0,3
148,20160622,5,,,0
149,20160622,6,0.0,0.0,17
150,20111222,1,0.0,0.0,2
151,20111222,2,82.0,328.0,4
152,20111222,3,27.875,223.0,8
153,20111222,4,37.333333333333336,112.0,3
154,20111222,5,,,0
155,20111222,6,39.0,663.0,17
156,20140222,1,100.5,201.0,2
157,20140222,2,128.0,512.0,4
158,20140222,3,129.75,1038.0,8
159,20140222,4,129.33333333333334,388.0,3
160,20140222,5,,,0
161,20140222,6,125.82352941176471,2139.0,17
162,20090716,1,0.0,0.0,2
163,20090716,2,0.0,0.0,4
164,20090716,3,0.0,0.0,8
165,20090716,4,0.0,0.0,3
166,20090716,5,,,0
167,20090716,6,0.0,0.0,17
168,20100430,1,0.0,0.0,2
169,20100430,2,0.0,0.0,4
170,20100430,3,0.0,0.0,8
171,20100430,4,0.0,0.0,3
172,20100430,5,,,0
173,20100430,6,0.0,0.0,17
174,20100816,1,0.0,0.0,2
175,20100816,2,0.0,0.0,4
176,20100816,3,0.0,0.0,8
177,20100816,4,0.0,0.0,3
178,20100816,5,,,0
179,20100816,6,0.0,0.0,17
180,20190519,1,0.0,0.0,2
181,20190519,2,0.0,0.0,4
182,20190519,3,0.0,0.0,8
183,20190519,4,0.0,0.0,3
184,20190519,5,,,0
185,20190519,6,0.0,0.0,17
186,20170307,1,132.5,265.0,2
187,20170307,2,146.75,587.0,4
188,20170307,3,146.125,1169.0,8
189,20170307,4,152.33333333333334,457.0,3
190,20170307,5,,,0
191,20170307,6,145.76470588235293,2478.0,17
192,20180219,1,95.0,190.0,2
193,20180219,2,116.0,464.0,4
194,20180219,3,113.25,906.0,8
195,20180219,4,127.33333333333333,382.0,3
196,20180219,5,,,0
197,20180219,6,114.23529411764706,1942.0,17
198,20161118,1,0.0,0.0,2
199,20161118,2,38.25,153.0,4
200,20161118,3,10.125,81.0,8
201,20161118,4,45.0,135.0,3
202,20161118,5,,,0
203,20161118,6,21.705882352941178,369.0,17
204,20140416,1,0.0,0.0,2
205,20140416,2,0.0,0.0,4
206,20140416,3,0.0,0.0,8
207,20140416,4,0.0,0.0,3
208,20140416,5,,,0
209,20140416,6,0.0,0.0,17
210,20120429,1,0.0,0.0,2
211,20120429,2,0.0,0.0,4
212,20120429,3,0.0,0.0,8
213,20120429,4,0.0,0.0,3
214,20120429,5,,,0
215,20120429,6,0.0,0.0,17
216,20170727,1,0.0,0.0,2
217,20170727,2,0.0,0.0,4
218,20170727,3,0.0,0.0,8
219,20170727,4,0.0,0.0,3
220,20170727,5,,,0
221,20170727,6,0.0,0.0,17
222,20101111,1,0.0,0.0,2
223,20101111,2,0.0,0.0,4
224,20101111,3,0.0,0.0,8
225,20101111,4,0.0,0.0,3
226,20101111,5,,,0
227,20101111,6,0.0,0.0,17
